areas,areas-href,coordinates
Darkside Corridor,https://www.mountainproject.com/area/124063085/darkside-corridor,"36.15409, -115.435"
USS Crag,https://www.mountainproject.com/area/106475229/uss-crag,"36.15345, -115.43422"
Midway Crag,https://www.mountainproject.com/area/124773481/midway-crag,"36.16273, -115.43674"
Pet Rock,https://www.mountainproject.com/area/106249711/pet-rock,"36.15659, -115.43674"
Climb Bomb,https://www.mountainproject.com/area/123971894/climb-bomb,"36.14658, -115.42697"
Computer Virus Wall,https://www.mountainproject.com/area/115356807/computer-virus-wall,"36.16567, -115.44248"
Monument,https://www.mountainproject.com/area/105732084/the-monument,"36.03897, -115.46096"
Americrag,https://www.mountainproject.com/area/116759616/americrag,"36.16255, -115.44613"
COVID Crag,https://www.mountainproject.com/area/122238084/the-covid-crag,"36.16908, -115.45503"
Common Time,https://www.mountainproject.com/area/106736239/common-time,"36.16721, -115.45486"
Out of Control Area,https://www.mountainproject.com/area/105888705/out-of-control-area,"36.12527, -115.49419"
Sunnyside Crags,https://www.mountainproject.com/area/105732147/sunnyside-crags,"36.145, -115.49403"
Dickies Cliff,https://www.mountainproject.com/area/105732135/dickies-cliff,"36.15163, -115.42827"
Overlook,https://www.mountainproject.com/area/116744282/the-overlook,"36.16059, -115.43522"
Trundle Wall,https://www.mountainproject.com/area/106585731/trundle-wall,"36.15229, -115.43253"
Graduate Cliff,https://www.mountainproject.com/area/105732171/graduate-cliff,"36.15766, -115.49941"
Salt Factory,https://www.mountainproject.com/area/108975654/the-salt-factory,"36.17081, -115.45324"
Shit Howdy,https://www.mountainproject.com/area/105917160/shit-howdy,"36.14814, -115.42544"
Great Red Roof Area,https://www.mountainproject.com/area/105973726/great-red-roof-area,"36.15021, -115.42965"
Broast & Toast Wall,https://www.mountainproject.com/area/107378193/broast-and-toast-wall,"36.16635, -115.45305"
Vaya con Queso,https://www.mountainproject.com/area/110127324/vaya-con-queso,"36.17209, -115.45449"
CarlyQuinn Crag,https://www.mountainproject.com/area/120563589/the-carlyquinn-crag,"36.14475, -115.42653"
Velvet Elvis,https://www.mountainproject.com/area/111442242/velvet-elvis,"36.1466, -115.42677"
E Face,https://www.mountainproject.com/area/115004550/east-face,"36.12301, -115.49265"
Mescalito,https://www.mountainproject.com/area/105732159/mescalito,"36.12311, -115.49467"
Church,https://www.mountainproject.com/area/112801228/the-church,"36.17003, -115.42489"
Shipwreck,https://www.mountainproject.com/area/108704226/the-shipwreck,"36.14789, -115.42971"
Beach,https://www.mountainproject.com/area/106935022/the-beach,"36.16523, -115.44533"
